Как Вы можете видеть, я смог создать таблицу, в которой:


"customer","purchase_date","income_per_customer","full_income_per_customer"
"004288347e5e88a27ded2bb23747066c",2017-07-27,229.99,229.99
"004288347e5e88a27ded2bb23747066c",2018-01-14,87.90,317.89
"00a39521eb40f7012db50455bf083460",2018-05-23,69.90,69.90
"00a39521eb40f7012db50455bf083460",2018-06-03,11.55,81.45
"00cc12a6d8b578b8ebd21ea4e2ae8b27",2017-03-21,29.90,29.90
"00cc12a6d8b578b8ebd21ea4e2ae8b27",2017-03-21,69.90,99.80
"011575986092c30523ecb71ff10cb473",2018-02-17,119.00,119.00
"011575986092c30523ecb71ff10cb473",2018-04-18,63.90,182.90
"011b4adcd54683b480c4d841250a987f",2017-08-22,69.49,69.49
"011b4adcd54683b480c4d841250a987f",2018-02-15,56.97,126.46
"011b4adcd54683b480c4d841250a987f",2018-02-15,56.97,183.43
"012452d40dafae4df401bced74cdb490",2017-06-18,97.90,97.90
"012452d40dafae4df401bced74cdb490",2018-05-14,330.00,427.90
"012a218df8995d3ec3bb221828360c86",2018-05-07,59.90,59.90
"012a218df8995d3ec3bb221828360c86",2018-06-18,1369.90,1429.80
"013ef03e0f3f408dd9bf555e4edcdc0a",2018-06-21,166.44,166.44
"013ef03e0f3f408dd9bf555e4edcdc0a",2018-07-20,59.90,226.34
"013f4353d26bb05dc6652f1269458d8d",2017-11-24,148.90,148.90
"013f4353d26bb05dc6652f1269458d8d",2017-11-28,64.00,212.90
"013f4353d26bb05dc6652f1269458d8d",2017-11-28,64.00,276.90
"015557c9912277312b9073947804a7ba",2017-03-23,230.00,230.00
"015557c9912277312b9073947804a7ba",2017-05-01,59.90,289.90
"0178b244a5c281fb2ade54038dd4b161",2017-05-10,89.90,89.90
"0178b244a5c281fb2ade54038dd4b161",2018-07-28,91.00,180.90
"0178b244a5c281fb2ade54038dd4b161",2018-07-28,13.99,194.89
"0178b244a5c281fb2ade54038dd4b161",2018-07-28,13.99,208.88
"01886ef98f995e4f2dd75a1d04c97397",2017-11-27,25.26,25.26
"01886ef98f995e4f2dd75a1d04c97397",2018-03-09,16.00,41.26
"01a22e2079ea71e17313b88e5811e54a",2018-01-22,49.00,49.00
"01a22e2079ea71e17313b88e5811e54a",2018-01-22,49.00,98.00
"01a22e2079ea71e17313b88e5811e54a",2018-01-22,44.00,142.00
"01c289bb06354cdc7e6549570f20ada4",2017-06-03,39.99,39.99
"01c289bb06354cdc7e6549570f20ada4",2017-12-26,39.99,79.98
"01c289bb06354cdc7e6549570f20ada4",2017-12-26,60.00,139.98
"01f2285f85a1c603eb7ef755ad311769",2017-04-29,176.00,176.00
"01f2285f85a1c603eb7ef755ad311769",2018-05-31,252.00,428.00
"02168ea18740a0fdaaa15f11bebba5db",2017-08-20,49.90,49.90
"02168ea18740a0fdaaa15f11bebba5db",2017-08-20,49.90,99.80
"02168ea18740a0fdaaa15f11bebba5db",2017-10-09,49.90,149.70
"02168ea18740a0fdaaa15f11bebba5db",2017-10-09,49.90,199.60
"0241fa2e9adf0576cb0f845377d05c03",2018-06-20,69.99,69.99
"0241fa2e9adf0576cb0f845377d05c03",2018-06-20,40.00,109.99
"0241fa2e9adf0576cb0f845377d05c03",2018-07-24,22.32,132.31
"027803eb28cc01fbdf5da72b109fabee",2017-10-17,40.00,40.00
"027803eb28cc01fbdf5da72b109fabee",2017-10-17,24.99,64.99
"029b457bd01199c39136f89e0eddcd3a",2017-05-14,98.00,98.00
"029b457bd01199c39136f89e0eddcd3a",2018-01-04,180.00,278.00
"02b20b7c813efede140142ac610e36dc",2018-03-19,84.89,84.89
"02b20b7c813efede140142ac610e36dc",2018-03-19,88.00,172.89
